"SourceFile","AtlasPage","CellIndex","Row","Column","Width","Height","SHA256","CanonicalVisualSource","ExactDuplicate"
"523.png","9","15","2","7","32","32","AB19EE4CFF928D388969016D156E48E0C561CD788602542F158A7AE93C9E58AE","523.png","False"
"524.png","9","16","2","8","32","32","6E02C55EA4146BD195E1411804229412E6708CDD31C96FE8103FA228A070D703","524.png","False"
"525.png","9","17","3","1","32","32","49279A4EC783A237D8F48345492419786480F1AB8B93E9F92D581990A34734D7","525.png","False"
"526.png","9","18","3","2","32","32","D4180893731EA2F9901FEE243E3553300E2EAA2846083A9E67BB2C62A7803AD2","526.png","False"
"527.png","9","19","3","3","32","32","A028EF63023AA9AE07C5F4FC735D04B6593E1B70522838340BEF377C81B12366","527.png","False"
"528.png","9","20","3","4","32","32","1B8AE4386D7A540248470E83D406667F0DB5701F94D710368AEE2B6A65021A5B","528.png","False"
"529.png","9","21","3","5","32","32","6262EFB0D69E93C77E1255DB76C705BB6FB65DE22D7E0035AA676372C4963606","529.png","False"
"530.png","9","22","3","6","32","32","7670B4EB51DA5DE7F1AF7A3F44BCB37165F2DC35C1D3DE6259C5939B0BA103F2","530.png","False"
"531.png","9","23","3","7","32","32","12E968662991F2FEB9459A1529886FBD03DE24027F7737F8A04989423EC47AEC","531.png","False"
"532.png","9","24","3","8","32","32","D37AD654D735B2F87217AB8C8CE6950C222F3281FCE31DE7BCF66F8165092421","532.png","False"
"533.png","9","25","4","1","32","32","2C38E708828F13B4E395D9B0CA28679CF3CD3DFA308D34959388216916588562","515.png","True"
"534.png","9","26","4","2","32","32","FD7B74DA7F8C0CAE9C2D9FC6669E94350F4C1519413F1F670A5D6E99F5E68EB1","516.png","True"
"535.png","9","27","4","3","32","32","711D4A316552070B69590FF89B44885991190004EF1A1F8E183959F3F3A83E58","535.png","False"
"536.png","9","28","4","4","32","32","9EC9D068843C807E53200E1E26B9E80573F391690EC98B58D7314ED9EE0B10F2","536.png","False"
"537.png","9","29","4","5","32","32","2C38E708828F13B4E395D9B0CA28679CF3CD3DFA308D34959388216916588562","515.png","True"
"538.png","9","30","4","6","32","32","2C38E708828F13B4E395D9B0CA28679CF3CD3DFA308D34959388216916588562","515.png","True"
"539.png","9","31","4","7","32","32","BCD6E0C5907F757815A34CF8956DE6F786C0BE78DA3A37C2E77E09A15099DAA4","539.png","False"
